Sample,X(ms) [08.05.2023 12:46:06 896 UTC],"LSim_PT2aper_DB.input","LSim_PT2aper_DB.output"
20241,1683549966999.312143,1,0.992123186588287
20242,1683549966999.527676,1,0.992506980895996
20243,1683549966999.776308,1,0.992506980895996
20244,1683549967000.022471,1,0.992506980895996
20245,1683549967000.325272,1,0.992506980895996
20246,1683549967000.527552,1,0.992871999740601
20247,1683549967000.796870,1,0.992871999740601
20248,1683549967001.022392,1,0.992871999740601
20249,1683549967001.280132,1,0.992871999740601
20250,1683549967001.527899,1,0.993219256401062
20251,1683549967001.776261,1,0.993219256401062
20252,1683549967002.022287,1,0.993219256401062
20253,1683549967002.330712,1,0.993219256401062
20254,1683549967002.548513,1,0.993549585342407
20255,1683549967002.776745,1,0.993549585342407
20256,1683549967003.052124,1,0.993549585342407
20257,1683549967003.348935,1,0.993549585342407
20258,1683549967003.529265,1,0.993863880634308
20259,1683549967003.781235,1,0.993863880634308
20260,1683549967004.023449,1,0.993863880634308
20261,1683549967004.328828,1,0.993863880634308
20262,1683549967004.526426,1,0.994162917137146
20263,1683549967004.782776,1,0.994162917137146
20264,1683549967005.023216,1,0.994162917137146
20265,1683549967005.275821,1,0.994162917137146
20266,1683549967005.524245,1,0.994447290897369
20267,1683549967005.783880,1,0.994447290897369
20268,1683549967006.023454,1,0.994447290897369
20269,1683549967006.273334,1,0.994447290897369
20270,1683549967006.527270,1,0.99471777677536
20271,1683549967006.777371,1,0.99471777677536
20272,1683549967007.023274,1,0.99471777677536
20273,1683549967007.273249,1,0.99471777677536
20274,1683549967007.527261,1,0.994975090026855
20275,1683549967007.777376,1,0.994975090026855
20276,1683549967008.023547,1,0.994975090026855
20277,1683549967008.273263,1,0.994975090026855
20278,1683549967008.527346,1,0.995219826698303
20279,1683549967008.777410,1,0.995219826698303
20280,1683549967009.023425,1,0.995219826698303
20281,1683549967009.273316,1,0.995219826698303
20282,1683549967009.527260,1,0.995452582836151
20283,1683549967009.778135,1,0.995452582836151
20284,1683549967010.023466,1,0.995452582836151
20285,1683549967010.273234,1,0.995452582836151
20286,1683549967010.527214,1,0.995674014091492
20287,1683549967010.777310,1,0.995674014091492
20288,1683549967011.023256,1,0.995674014091492
20289,1683549967011.273351,1,0.995674014091492
20290,1683549967011.528456,1,0.995884597301483
20291,1683549967011.776370,1,0.995884597301483
20292,1683549967012.023335,1,0.995884597301483
20293,1683549967012.273271,1,0.995884597301483
20294,1683549967012.527863,1,0.995884597301483
20295,1683549967012.788850,1,0.996084928512573
20296,1683549967013.055295,1,0.996084928512573
20297,1683549967013.280956,1,0.996084928512573
20298,1683549967013.579056,1,0.996084928512573
20299,1683549967013.804645,1,0.996084928512573
20300,1683549967014.025310,1,0.996275544166565
20301,1683549967014.274989,1,0.996275544166565
20302,1683549967014.590768,1,0.996275544166565
20303,1683549967014.778529,1,0.996456861495972
20304,1683549967015.023769,1,0.996456861495972
20305,1683549967015.273520,1,0.996456861495972
20306,1683549967015.526549,1,0.996456861495972
20307,1683549967015.793690,1,0.996629297733307
20308,1683549967016.024373,1,0.996629297733307
20309,1683549967016.280351,1,0.996629297733307
20310,1683549967016.536219,1,0.996629297733307
20311,1683549967016.810604,1,0.996793389320374
20312,1683549967017.044049,1,0.996793389320374
20313,1683549967017.288970,1,0.996793389320374
20314,1683549967017.524577,1,0.996793389320374
20315,1683549967017.779803,1,0.99694949388504
20316,1683549967018.024275,1,0.99694949388504
20317,1683549967018.277716,1,0.99694949388504
20318,1683549967018.555757,1,0.99694949388504
20319,1683549967018.788385,1,0.99694949388504
20320,1683549967019.025478,1,0.997098028659821
20321,1683549967019.281040,1,0.997098028659821
20322,1683549967019.534094,1,0.997098028659821
20323,1683549967019.782621,1,0.997098028659821
20324,1683549967020.029490,1,0.997239351272583
20325,1683549967020.276464,1,0.997239351272583
20326,1683549967020.523895,1,0.997239351272583
20327,1683549967020.779590,1,0.997373700141907
20328,1683549967021.033426,1,0.997373700141907
20329,1683549967021.276175,1,0.997373700141907
20330,1683549967021.524316,1,0.997373700141907
20331,1683549967021.778854,1,0.997373700141907
20332,1683549967022.041064,1,0.997501492500305
20333,1683549967022.276368,1,0.997501492500305
20334,1683549967022.524960,1,0.997501492500305
20335,1683549967022.790530,1,0.997501492500305
20336,1683549967023.026788,1,0.997623085975647
20337,1683549967023.276151,1,0.997623085975647
20338,1683549967023.551643,1,0.997623085975647
20339,1683549967023.799223,1,0.997623085975647
20340,1683549967024.054668,1,0.997738778591156
20341,1683549967024.303231,1,0.997738778591156
20342,1683549967024.538984,1,0.997738778591156
20343,1683549967024.781201,1,0.997738778591156
20344,1683549967025.042794,1,0.997848868370056
20345,1683549967025.277515,1,0.997848868370056
20346,1683549967025.533304,1,0.997848868370056
20347,1683549967025.793361,1,0.997848868370056
20348,1683549967026.041122,1,0.997953534126282
20349,1683549967026.276273,1,0.997953534126282
20350,1683549967026.523674,1,0.997953534126282
20351,1683549967026.803254,1,0.997953534126282
20352,1683549967027.058952,1,0.998053073883057
20353,1683549967027.279546,1,0.998053073883057
20354,1683549967027.524043,1,0.998053073883057
20355,1683549967027.849267,1,0.998053073883057
20356,1683549967028.044054,1,0.998147785663605
20357,1683549967028.289162,1,0.998147785663605
20358,1683549967028.539454,1,0.998147785663605
20359,1683549967028.863909,1,0.998147785663605
20360,1683549967029.039068,1,0.998237788677216
20361,1683549967029.276971,1,0.998237788677216
20362,1683549967029.523431,1,0.998237788677216
20363,1683549967029.779197,1,0.998237788677216
20364,1683549967030.027918,1,0.998323380947113
20365,1683549967030.276067,1,0.998323380947113
20366,1683549967030.527778,1,0.998323380947113
20367,1683549967030.776798,1,0.998323380947113
20368,1683549967031.028037,1,0.998404860496521
20369,1683549967031.276119,1,0.998404860496521
20370,1683549967031.525994,1,0.998404860496521
20371,1683549967031.773470,1,0.998404860496521
20372,1683549967032.028003,1,0.998482406139374
20373,1683549967032.279746,1,0.998482406139374
20374,1683549967032.529464,1,0.998482406139374
20375,1683549967032.777619,1,0.998482406139374
20376,1683549967033.025917,1,0.998556137084961
20377,1683549967033.277622,1,0.998556137084961
20378,1683549967033.539604,1,0.998556137084961
20379,1683549967033.784853,1,0.998556137084961
20380,1683549967034.032654,1,0.998556137084961
20381,1683549967034.292687,1,0.998626232147217
20382,1683549967034.524255,1,0.998626232147217
20383,1683549967034.775351,1,0.998626232147217
20384,1683549967035.036844,1,0.998626232147217
20385,1683549967035.321935,1,0.998692870140076
20386,1683549967035.537233,1,0.998692870140076
20387,1683549967035.776338,1,0.998692870140076
20388,1683549967036.099816,1,0.998692870140076
20389,1683549967036.321351,1,0.998756289482117
20390,1683549967036.540417,1,0.998756289482117
20391,1683549967036.773719,1,0.998756289482117
20392,1683549967037.035790,1,0.998756289482117
20393,1683549967037.277612,1,0.998816668987274
20394,1683549967037.525859,1,0.998816668987274
20395,1683549967037.773160,1,0.998816668987274
20396,1683549967038.086487,1,0.998816668987274
20397,1683549967038.290632,1,0.998874127864838
20398,1683549967038.526511,1,0.998874127864838
20399,1683549967038.773270,1,0.998874127864838
20400,1683549967039.097884,1,0.998874127864838
20401,1683549967039.277681,1,0.998928785324097
20402,1683549967039.525715,1,0.998928785324097
20403,1683549967039.773416,1,0.998928785324097
20404,1683549967040.051053,1,0.998928785324097
20405,1683549967040.277888,1,0.998980760574341
20406,1683549967040.525865,1,0.998980760574341
20407,1683549967040.773183,1,0.998980760574341
20408,1683549967041.039664,1,0.998980760574341
20409,1683549967041.278726,1,0.99903017282486
20410,1683549967041.525734,1,0.99903017282486
20411,1683549967041.773207,1,0.99903017282486
20412,1683549967042.053372,1,0.99903017282486
20413,1683549967042.277164,1,0.999077200889587
20414,1683549967042.525909,1,0.999077200889587
20415,1683549967042.773180,1,0.999077200889587
20416,1683549967043.086357,1,0.999077200889587
20417,1683549967043.278610,1,0.999121904373169
20418,1683549967043.526166,1,0.999121904373169
20419,1683549967043.773369,1,0.999121904373169
20420,1683549967044.025603,1,0.999121904373169
20421,1683549967044.277249,1,0.999164462089539
20422,1683549967044.551837,1,0.999164462089539
20423,1683549967044.773893,1,0.999164462089539
20424,1683549967045.055928,1,0.999164462089539
20425,1683549967045.317973,1,0.999164462089539
20426,1683549967045.526792,1,0.999204993247986
20427,1683549967045.802896,1,0.999204993247986
20428,1683549967046.023928,1,0.999204993247986
20429,1683549967046.277831,1,0.999204993247986
20430,1683549967046.526765,1,0.999243497848511
20431,1683549967046.777846,1,0.999243497848511
20432,1683549967047.023425,1,0.999243497848511
20433,1683549967047.299105,1,0.999243497848511
20434,1683549967047.527154,1,0.999280035495758
20435,1683549967047.790003,1,0.999280035495758
20436,1683549967048.024525,1,0.999280035495758
20437,1683549967048.313615,1,0.999280035495758
20438,1683549967048.526038,1,0.999314844608307
20439,1683549967048.791796,1,0.999314844608307
20440,1683549967049.023391,1,0.999314844608307
20441,1683549967049.327335,1,0.999314844608307
20442,1683549967049.526160,1,0.999347984790802
20443,1683549967049.791475,1,0.999347984790802
20444,1683549967050.023393,1,0.999347984790802
20445,1683549967050.345010,1,0.999347984790802
20446,1683549967050.527029,1,0.999379515647888
20447,1683549967050.775865,1,0.999379515647888
20448,1683549967051.022552,1,0.999379515647888
20449,1683549967051.275843,1,0.999379515647888
